keywords,siglaTipo,sexo
 redução,PL,masculino
 densidade de carga,PL,masculino
 energia elétrica.,PL,masculino
Excludente de ilicitude,PL,masculino
 agente público,PL,masculino
 operação policial,PL,masculino
 intervenção federal,PL,masculino
 legítima defesa,PL,masculino
 Estrito cumprimento de dever legal.,PL,masculino
Alteração,PL,masculino
 Lei Federal,PL,masculino
 Plano Nacional de Educação (PNE),PL,masculino
 inclusão,PL,masculino
 Exame Nacional do Ensino Médio (ENEM),PL,masculino
 Sistema de Avaliação da Educação Básica (SAEB),PL,masculino
 prazo,PL,masculino
 aplicação.,PL,masculino
Alteração,PL,masculino
 Estatuto da Criança e do Adolescente (ECA),PL,masculino
 proibição,PL,masculino
 comercialização,PL,masculino
 utilização,PL,masculino
 local público,PL,masculino
 narguilé,PL,masculino
 menor de idade.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 configuração,PL,masculino
 dano à imagem.,PL,masculino
Alteração,PL,masculino
 Código de Processo Civil (2015),PL,masculino
 penhora,PL,masculino
 sítio (internet),PL,masculino
 patrimônio imaterial,PL,masculino
 comércio eletrônico.,PL,masculino
Alteração,PL,masculino
 Código de Defesa do Consumidor,PL,masculino
 publicidade enganosa,PL,masculino
  modelo de moda,PL,masculino
 modelo de passarela,PL,masculino
 tratamento de imagem,PL,masculino
 photoshop.,PL,masculino
Alteração,PL,masculino
 Código de Defesa do Consumidor,PL,masculino
 formulação,PL,masculino
 reclamação obstativa da decadência,PL,masculino
 vício do produto,PL,masculino
 vício do serviço.,PL,masculino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 responsabilidade,PL,masculino
 pagamento,PL,masculino
 honorários periciais,PL,masculino
 parte (processo civil),PL,masculino
 sucumbente,PL,masculino
 exceção,PL,masculino
 beneficiário,PL,masculino
  Justiça gratuita.,PL,masculino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 facilitação,PL,masculino
  acesso à justiça,PL,masculino
 justiça gratuita,PL,masculino
 Justiça do Trabalho.,PL,masculino
Alteração,PL,masculino
 Lei do FGTS,PL,masculino
 obrigatoriedade,PL,masculino
 empregador,PL,masculino
 comprovação,PL,masculino
 depósito,PL,masculino
 Fundo de Garantia do tempo de Serviço,PL,masculino
 prazo,PL,masculino
 informação,PL,masculino
 atualização,PL,masculino
 conta vinculada do FGTS,PL,masculino
 trabalhador.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 indenização,PL,masculino
 ato ilícito.,PL,masculino
Alteração,PL,masculino
 Lei de Diretrizes e Bases da Educação Nacional (1996),PL,masculino
 dever do Estado,PL,masculino
 alfabetização,PL,masculino
 capacitação,PL,masculino
 aluno,PL,masculino
 educação básica,PL,masculino
 leitura.,PL,masculino
Alteração,PL,masculino
 Lei de Execução Penal,PL,masculino
 criação,PL,masculino
 espaço físico,PL,masculino
 estabelecimento penal,PL,masculino
 travesti,PL,masculino
 transexual.,PL,masculino
Alteração,PL,masculino
 Lei do Inquilinato (1991),PL,masculino
 prazo determinado,PL,masculino
 aumento,PL,masculino
 aluguel,PL,masculino
 locação,PL,masculino
 imóvel.,PL,masculino
Utilização,PL,masculino
 planta aromática,PL,masculino
 repelente,PL,masculino
 Instituição de ensino pública,PL,masculino
 Unidade pública de saúde,PL,masculino
 local,PL,masculino
 Atendimento ao público,PL,masculino
 combate,PL,masculino
 inseto,PL,masculino
 Mosquito Aedes aegypti.,PL,masculino
Alteração,PL,masculino
